date,temperature_2m_min,temperature_2m_max,temperature_2m_mean,windspeed_10m_max,windgusts_10m_max,precipitation_sum,shortwave_radiation_sum,cloudcover_mean,humidity_2m_mean,weathercode,WeatherSimple
2022-01-01,18.1,25.8,20.8,22.1,40.3,2.3,15.25,,,53,1
2022-01-02,16.1,27.0,20.7,18.8,37.1,0.0,19.52,,,3,0
2022-01-03,15.6,26.9,20.4,16.6,29.5,0.0,18.28,,,3,0
2022-01-04,16.3,26.4,20.3,16.2,30.6,0.0,20.92,,,3,0
2022-01-05,14.8,26.4,20.2,15.9,31.3,0.0,21.37,,,3,0
2022-01-06,16.1,26.9,20.8,15.5,28.1,0.0,20.65,,,3,0
2022-01-07,17.2,26.3,21.3,17.2,31.0,0.1,16.55,,,51,1
2022-01-08,17.7,26.9,21.6,17.3,32.4,0.0,16.44,,,3,0
2022-01-09,17.1,27.0,21.4,13.7,24.8,0.0,17.47,,,3,0
2022-01-10,17.0,27.0,21.4,16.2,26.6,0.2,19.66,,,51,1
2022-01-11,16.2,27.9,21.5,14.3,27.0,0.1,20.39,,,51,1
2022-01-12,18.1,27.1,21.7,13.0,27.4,0.2,19.01,,,51,1
2022-01-13,17.0,27.3,21.5,14.7,31.0,0.0,21.29,,,3,0
2022-01-14,17.5,27.3,21.5,13.0,28.8,0.0,21.1,,,3,0
2022-01-15,16.1,28.2,21.7,16.6,28.4,0.0,21.75,,,3,0
2022-01-16,18.1,27.0,21.6,18.2,31.7,0.5,19.71,,,51,1
2022-01-17,17.3,26.8,21.1,19.5,34.9,0.2,19.44,,,51,1
2022-01-18,16.0,27.2,21.2,14.7,28.4,0.0,18.85,,,3,0
2022-01-19,15.7,27.1,20.8,13.6,27.4,0.0,22.09,,,3,0
2022-01-20,13.7,28.2,20.6,13.0,28.4,0.0,22.28,,,3,0
2022-01-21,15.2,30.1,22.0,18.0,36.7,0.0,22.51,,,3,0
2022-01-22,14.4,29.1,21.4,12.5,27.0,0.0,22.16,,,3,0
2022-01-23,14.4,28.5,21.3,12.9,28.1,0.0,22.59,,,0,0
2022-01-24,13.7,27.5,20.7,13.2,27.7,0.0,22.59,,,3,0
2022-01-25,14.2,27.6,20.7,14.2,28.8,0.0,19.75,,,3,0
2022-01-26,16.8,27.4,21.8,13.0,24.8,0.0,20.02,,,3,0
2022-01-27,17.4,25.2,21.1,16.6,28.4,2.3,14.88,,,53,1
2022-01-28,17.0,26.6,21.0,24.0,45.4,0.0,19.08,,,3,0
2022-01-29,15.9,27.8,21.1,19.3,37.8,0.0,18.09,,,3,0
2022-01-30,17.1,28.1,22.1,12.5,24.5,0.2,16.96,,,51,1
2022-01-31,17.9,29.6,23.3,15.5,26.3,0.0,21.56,,,3,0
