date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windgusts_10m_max,weathercode,shortwave_radiation_sum
2022-01-01,25.8,18.1,20.8,2.3,22.1,40.3,53,15.25
2022-01-02,27.0,16.1,20.7,0.0,18.8,37.1,3,19.52
2022-01-03,26.9,15.6,20.4,0.0,16.6,29.5,3,18.28
2022-01-04,26.4,16.3,20.3,0.0,16.2,30.6,3,20.92
2022-01-05,26.4,14.8,20.2,0.0,15.9,31.3,3,21.37
2022-01-06,26.9,16.1,20.8,0.0,15.5,28.1,3,20.65
2022-01-07,26.3,17.2,21.3,0.1,17.2,31.0,51,16.55
2022-01-08,26.9,17.7,21.6,0.0,17.3,32.4,3,16.44
2022-01-09,27.0,17.1,21.4,0.0,13.7,24.8,3,17.47
2022-01-10,27.0,17.0,21.4,0.2,16.2,26.6,51,19.66
2022-01-11,27.9,16.2,21.5,0.1,14.3,27.0,51,20.39
2022-01-12,27.1,18.1,21.7,0.2,13.0,27.4,51,19.01
2022-01-13,27.3,17.0,21.5,0.0,14.7,31.0,3,21.29
2022-01-14,27.3,17.5,21.5,0.0,13.0,28.8,3,21.1
2022-01-15,28.2,16.1,21.7,0.0,16.6,28.4,3,21.75
2022-01-16,27.0,18.1,21.6,0.5,18.2,31.7,51,19.71
2022-01-17,26.8,17.3,21.1,0.2,19.5,34.9,51,19.44
2022-01-18,27.2,16.0,21.2,0.0,14.7,28.4,3,18.85
2022-01-19,27.1,15.7,20.8,0.0,13.6,27.4,3,22.09
2022-01-20,28.2,13.7,20.6,0.0,13.0,28.4,3,22.28
2022-01-21,30.1,15.2,22.0,0.0,18.0,36.7,3,22.51
2022-01-22,29.1,14.4,21.4,0.0,12.5,27.0,3,22.16
2022-01-23,28.5,14.4,21.3,0.0,12.9,28.1,0,22.59
2022-01-24,27.5,13.7,20.7,0.0,13.2,27.7,3,22.59
2022-01-25,27.6,14.2,20.7,0.0,14.2,28.8,3,19.75
2022-01-26,27.4,16.8,21.8,0.0,13.0,24.8,3,20.02
2022-01-27,25.2,17.4,21.1,2.3,16.6,28.4,53,14.88
2022-01-28,26.6,17.0,21.0,0.0,24.0,45.4,3,19.08
2022-01-29,27.8,15.9,21.1,0.0,19.3,37.8,3,18.09
2022-01-30,28.1,17.1,22.1,0.2,12.5,24.5,51,16.96
2022-01-31,29.6,17.9,23.3,0.0,15.5,26.3,3,21.56
2022-02-01,29.4,18.2,23.1,0.0,11.6,23.4,3,22.72
2022-02-02,29.8,16.7,22.6,0.0,13.7,22.3,3,23.0
2022-02-03,29.0,16.7,22.4,0.0,13.5,29.2,1,22.23
2022-02-04,29.4,15.5,22.3,0.0,12.3,27.7,3,24.08
2022-02-05,29.6,16.1,22.4,0.0,14.4,23.0,3,23.49
2022-02-06,28.2,17.6,22.5,0.0,15.9,30.2,3,20.35
2022-02-07,29.0,18.4,23.0,0.0,13.8,24.8,3,20.15
2022-02-08,28.8,16.2,22.2,0.0,12.9,24.8,3,22.62
2022-02-09,28.5,15.4,21.7,0.0,17.6,31.3,3,23.3
2022-02-10,28.8,15.9,21.7,0.0,16.3,28.4,3,24.03
2022-02-11,29.1,15.9,22.1,0.0,20.7,40.0,3,24.23
2022-02-12,28.8,16.3,22.2,0.0,20.5,39.6,1,23.65
2022-02-13,28.5,16.1,21.9,0.0,15.5,29.9,3,22.89
2022-02-14,28.3,15.8,21.9,0.0,16.8,27.7,3,21.04
2022-02-15,28.7,17.0,22.6,0.0,17.1,29.2,3,21.17
2022-02-16,29.4,16.0,22.6,0.0,19.2,32.8,3,19.55
2022-02-17,29.5,16.4,22.6,0.0,21.8,37.1,3,21.45
2022-02-18,29.4,15.2,22.3,0.0,20.4,37.1,3,23.82
2022-02-19,29.6,15.9,22.4,0.0,16.3,34.2,2,24.84
2022-02-20,30.7,16.0,22.9,0.0,15.5,26.3,3,24.96
2022-02-21,31.4,16.9,23.8,0.0,12.1,22.3,3,24.72
2022-02-22,31.4,18.6,24.5,0.0,19.8,33.1,2,23.72
2022-02-23,29.8,17.0,23.1,0.0,17.8,34.6,3,24.94
2022-02-24,29.0,15.9,22.1,0.0,14.9,30.2,3,25.61
2022-02-25,30.7,14.6,22.6,0.0,16.6,30.2,3,25.9
2022-02-26,29.7,15.7,22.1,0.0,16.0,30.6,3,25.68
2022-02-27,29.9,17.3,22.9,0.0,16.8,30.6,3,25.38
2022-02-28,29.3,15.9,22.8,0.0,17.6,29.9,0,25.97
2022-03-01,30.0,17.0,23.6,0.0,19.1,33.5,3,24.71
2022-03-02,30.2,17.2,23.3,0.0,19.7,39.6,3,25.56
2022-03-03,30.5,16.4,23.2,0.0,22.4,43.9,3,25.29
2022-03-04,31.2,16.0,23.4,0.0,23.2,45.4,3,25.96
2022-03-05,30.9,15.8,23.3,0.0,20.4,41.0,3,25.69
2022-03-06,30.6,17.2,23.4,0.0,22.6,44.6,3,21.73
2022-03-07,27.7,17.6,21.7,3.4,22.5,43.6,55,19.2
2022-03-08,30.1,17.3,23.5,0.1,17.1,33.8,51,25.74
2022-03-09,31.7,17.6,24.5,0.0,17.7,34.9,3,26.05
2022-03-10,32.5,18.7,25.0,0.0,18.3,37.4,2,25.27
2022-03-11,32.3,18.1,25.0,0.0,18.8,35.6,2,26.45
2022-03-12,32.2,17.9,25.0,0.0,19.6,39.2,3,26.13
2022-03-13,31.8,18.5,25.2,0.0,19.1,38.5,3,24.03
2022-03-14,32.8,18.8,25.6,0.0,17.9,37.1,2,25.98
2022-03-15,33.1,17.8,25.2,0.0,13.5,29.5,3,26.22
2022-03-16,33.2,17.4,25.1,0.0,20.4,40.0,3,25.89
2022-03-17,33.7,18.3,26.3,0.0,16.5,34.9,3,25.93
2022-03-18,34.2,19.2,26.4,0.0,15.1,25.9,3,24.78
2022-03-19,32.3,19.1,25.9,0.0,19.9,36.7,3,20.86
2022-03-20,29.9,22.0,24.7,0.0,10.6,23.4,3,9.15
2022-03-21,32.9,19.8,24.9,0.2,17.1,32.8,51,20.68
2022-03-22,31.1,20.9,24.7,0.0,12.2,26.6,3,17.01
2022-03-23,32.9,20.9,26.4,0.0,15.8,31.3,3,22.6
2022-03-24,32.6,20.5,26.2,0.4,21.1,40.0,51,21.97
2022-03-25,32.2,20.3,26.0,0.0,13.9,33.1,3,22.2
2022-03-26,33.1,20.1,26.3,0.0,14.3,25.6,3,23.29
2022-03-27,34.2,20.8,26.8,0.0,19.7,37.8,1,24.15
2022-03-28,34.3,20.7,27.1,0.0,15.2,33.5,2,23.84
2022-03-29,33.9,21.2,27.2,0.1,13.0,30.2,51,24.08
2022-03-30,33.8,21.4,27.6,0.2,16.0,28.1,51,23.27
2022-03-31,32.2,21.6,27.2,0.0,11.1,26.6,3,21.31
2022-04-01,33.5,21.6,27.4,0.0,16.4,32.0,3,22.97
2022-04-02,32.7,20.2,26.5,0.0,14.0,32.4,2,23.66
2022-04-03,33.6,19.8,26.4,0.0,19.1,37.4,1,26.41
2022-04-04,32.9,19.6,26.3,0.0,19.2,40.0,3,25.47
2022-04-05,33.1,19.5,25.9,0.0,22.3,41.0,3,25.41
2022-04-06,33.8,18.8,26.1,0.0,15.6,34.2,3,26.71
2022-04-07,35.3,20.0,26.9,0.0,26.6,48.6,2,25.74
2022-04-08,33.1,19.4,26.4,0.1,15.5,32.0,51,24.39
2022-04-09,33.7,20.5,26.8,0.0,17.2,34.2,3,24.64
2022-04-10,34.0,20.3,26.8,0.0,18.8,38.9,3,25.26
2022-04-11,33.9,20.4,26.9,0.0,17.5,36.4,3,25.88
2022-04-12,33.3,20.9,26.3,0.0,18.8,40.7,3,24.08
2022-04-13,31.5,21.7,25.5,2.5,21.9,42.8,61,19.92
2022-04-14,32.1,20.9,24.8,12.8,15.8,31.3,65,16.69
2022-04-15,33.6,20.3,25.9,5.3,13.2,39.6,63,23.31
2022-04-16,33.8,20.2,25.8,4.2,21.4,39.6,63,24.69
2022-04-17,32.9,19.3,24.2,10.5,21.8,35.3,63,19.89
2022-04-18,31.7,19.1,24.2,0.2,15.9,39.2,51,21.95
2022-04-19,33.1,19.5,25.9,0.0,17.1,33.1,3,24.68
2022-04-20,34.3,20.5,27.6,0.0,15.9,32.4,3,24.75
2022-04-21,33.7,20.8,27.0,0.0,18.2,35.6,2,25.56
2022-04-22,33.3,20.0,26.1,0.0,19.5,36.7,3,25.73
2022-04-23,32.9,20.5,26.3,0.0,16.3,31.7,3,24.17
2022-04-24,33.1,20.2,26.3,0.0,13.9,25.9,3,19.36
