date,temperature_2m_min,temperature_2m_max,temperature_2m_mean,windspeed_10m_max,windgusts_10m_max,precipitation_sum,shortwave_radiation_sum,cloudcover_mean,humidity_2m_mean,weathercode,WeatherSimple
2015-01-01,18.5,26.5,21.7,13.2,32.0,4.8,15.69,,,53,1
2015-01-02,18.9,26.2,21.8,13.0,30.6,0.8,15.83,,,51,1
2015-01-03,18.1,26.6,21.5,10.5,26.3,0.0,17.3,,,3,0
2015-01-04,16.5,27.1,21.3,11.4,24.1,0.0,20.74,,,1,0
2015-01-05,17.7,26.8,21.8,11.9,29.2,0.0,18.57,,,3,0
2015-01-06,16.1,25.8,21.2,10.2,29.9,0.0,15.38,,,3,0
2015-01-07,17.2,26.2,21.3,8.6,20.5,0.0,15.24,,,3,0
2015-01-08,16.8,26.3,21.1,11.3,22.7,0.0,16.29,,,3,0
2015-01-09,17.1,25.7,20.9,10.8,23.8,0.0,15.43,,,3,0
2015-01-10,15.7,27.0,20.5,11.3,27.7,0.0,21.89,,,2,0
2015-01-11,10.9,26.4,18.6,12.4,30.2,0.0,22.51,,,0,0
2015-01-12,12.2,26.2,18.8,11.9,30.2,0.0,22.5,,,0,0
2015-01-13,12.2,26.4,18.8,11.0,29.9,0.0,22.48,,,2,0
2015-01-14,12.2,26.5,19.0,12.0,25.9,0.0,22.54,,,2,0
2015-01-15,13.0,26.7,19.4,12.1,25.6,0.0,22.21,,,3,0
2015-01-16,14.7,26.7,20.1,11.9,28.4,0.0,21.55,,,2,0
2015-01-17,15.5,26.9,21.2,11.4,31.0,0.0,16.22,,,3,0
2015-01-18,14.8,27.7,21.3,14.1,26.6,0.0,20.72,,,3,0
2015-01-19,14.5,28.1,21.2,18.1,33.1,0.0,21.48,,,2,0
2015-01-20,14.8,27.0,20.9,16.3,31.7,0.0,18.9,,,3,0
2015-01-21,14.4,26.8,20.3,15.8,31.0,0.0,18.82,,,3,0
2015-01-22,14.3,27.6,20.6,13.4,25.6,0.0,22.06,,,2,0
2015-01-23,16.9,27.4,21.4,17.6,28.8,0.0,21.13,,,3,0
